slug,first_time,cur_month,index,comments,amounts
ash-project,,NaT,2,0.0,0.0
ash-project,,NaT,3,0.0,0.0
ash-project,,NaT,4,0.0,0.0
ash-project,2020-06-07,2020-11,5,9.0,3.0
ash-project,,NaT,6,0.0,0.0
aspect-build,2021-12-21,2021-12,0,5.0,1.0
aspect-build,,NaT,1,0.0,0.0
aspect-build,,NaT,2,0.0,0.0
aspect-build,,NaT,3,0.0,0.0
aspect-build,,NaT,4,0.0,0.0
aspect-build,2021-12-21,2022-05,5,2.0,5.0
aspect-build,,NaT,6,0.0,0.0
assimp,2024-11-06,2024-11,0,12.0,17.0
assimp,2024-11-06,2024-12,1,1.0,1.0
assimp,,NaT,2,0.0,0.0
assimp,,NaT,3,0.0,0.0
assimp,,NaT,4,0.0,0.0
assimp,,NaT,5,0.0,0.0
assimp,,NaT,6,0.0,0.0
AsteroidOS,,NaT,0,0.0,0.0
AsteroidOS,,NaT,1,0.0,0.0
AsteroidOS,,NaT,2,0.0,0.0
AsteroidOS,,NaT,3,0.0,0.0
AsteroidOS,2017-05-30,2017-09,4,1.0,1.0
AsteroidOS,,NaT,5,0.0,0.0
AsteroidOS,,NaT,6,0.0,0.0
astropy,2012-11-27,2012-11,0,14.0,1.0
astropy,,NaT,1,0.0,0.0
astropy,2012-11-27,2013-01,2,9.0,1.0
astropy,,NaT,3,0.0,0.0
astropy,,NaT,4,0.0,0.0
astropy,,NaT,5,0.0,0.0
astropy,,NaT,6,0.0,0.0
async-rs,,NaT,0,0.0,0.0
async-rs,,NaT,1,0.0,0.0
async-rs,,NaT,2,0.0,0.0
async-rs,,NaT,3,0.0,0.0
async-rs,,NaT,4,0.0,0.0
async-rs,,NaT,5,0.0,0.0
async-rs,2019-07-21,2020-01,6,1.0,1.0
atata-framework,,NaT,0,0.0,0.0
atata-framework,,NaT,1,0.0,0.0
atata-framework,,NaT,2,0.0,0.0
atata-framework,2017-04-06,2017-07,3,1.0,1.0
atata-framework,,NaT,4,0.0,0.0
atata-framework,,NaT,5,0.0,0.0
atata-framework,,NaT,6,0.0,0.0
keras-team,,NaT,0,0.0,0.0
keras-team,,NaT,1,0.0,0.0
keras-team,,NaT,2,0.0,0.0
keras-team,2023-04-01,2023-07,3,0.0,4.0
keras-team,2023-04-01,2023-08,4,1.0,3.0
keras-team,2023-04-01,2023-09,5,5.0,2.0
keras-team,2023-04-01,2023-10,6,1.0,3.0
LeanerCloud,,NaT,0,0.0,0.0
LeanerCloud,2019-02-15,2019-03,1,0.0,1.0
LeanerCloud,2019-02-15,2019-04,2,11.0,1.0
LeanerCloud,,NaT,3,0.0,0.0
LeanerCloud,,NaT,4,0.0,0.0
LeanerCloud,2019-02-15,2019-07,5,19.0,2.0
LeanerCloud,,NaT,6,0.0,0.0
avajs,2016-01-02,2016-01,0,0.0,1.0
avajs,2016-01-02,2016-02,1,21.0,8.0
avajs,2016-01-02,2016-03,2,0.0,1.0
avajs,2016-01-02,2016-04,3,5.0,5.0
avajs,2016-01-02,2016-05,4,13.0,5.0
avajs,2016-01-02,2016-06,5,1.0,1.0
avajs,,NaT,6,0.0,0.0
vinta,2024-09-20,2024-09,0,7.0,13.0
vinta,,NaT,1,0.0,0.0
vinta,,NaT,2,0.0,0.0
vinta,,NaT,3,0.0,0.0
vinta,,NaT,4,0.0,0.0
vinta,,NaT,5,0.0,0.0
vinta,,NaT,6,0.0,0.0
HenryQW,,NaT,0,0.0,0.0
HenryQW,,NaT,1,0.0,0.0
HenryQW,,NaT,2,0.0,0.0
HenryQW,,NaT,3,0.0,0.0
HenryQW,,NaT,4,0.0,0.0
HenryQW,,NaT,5,0.0,0.0
HenryQW,,NaT,6,0.0,0.0
azerothcore,,NaT,0,0.0,0.0
azerothcore,,NaT,1,0.0,0.0
azerothcore,,NaT,2,0.0,0.0
azerothcore,,NaT,3,0.0,0.0
azerothcore,,NaT,4,0.0,0.0
azerothcore,,NaT,5,0.0,0.0
azerothcore,,NaT,6,0.0,0.0
baby-degu,,NaT,0,0.0,0.0
baby-degu,,NaT,1,0.0,0.0
baby-degu,,NaT,2,0.0,0.0
baby-degu,,NaT,3,0.0,0.0
baby-degu,2020-05-05,2020-09,4,3.0,3.0
baby-degu,2020-05-05,2020-10,5,0.0,9.0
baby-degu,,NaT,6,0.0,0.0
babybuddy,,NaT,0,0.0,0.0
babybuddy,2022-02-06,2022-03,1,4.0,1.0
babybuddy,,NaT,2,0.0,0.0
babybuddy,2022-02-06,2022-05,3,3.0,1.0
babybuddy,,NaT,4,0.0,0.0
babybuddy,,NaT,5,0.0,0.0
babybuddy,,NaT,6,0.0,0.0
babycastles,,NaT,0,0.0,0.0
babycastles,,NaT,1,0.0,0.0
babycastles,,NaT,2,0.0,0.0
babycastles,,NaT,3,0.0,0.0
babycastles,,NaT,4,0.0,0.0
babycastles,,NaT,5,0.0,0.0
babycastles,,NaT,6,0.0,0.0
backyourstack,,NaT,0,0.0,0.0
backyourstack,,NaT,1,0.0,0.0
backyourstack,,NaT,2,0.0,0.0
backyourstack,,NaT,3,0.0,0.0
backyourstack,,NaT,4,0.0,0.0
backyourstack,,NaT,5,0.0,0.0
backyourstack,2019-07-04,2020-01,6,3.0,1.0
badgen,,NaT,0,0.0,0.0
badgen,2021-11-09,2021-12,1,0.0,1.0
badgen,,NaT,2,0.0,0.0
badgen,,NaT,3,0.0,0.0
badgen,2021-11-09,2022-03,4,0.0,1.0
badgen,,NaT,5,0.0,0.0
badgen,,NaT,6,0.0,0.0
bagisto,2024-11-15,2024-11,0,7.0,18.0
bagisto,,NaT,1,0.0,0.0
bagisto,,NaT,2,0.0,0.0
bagisto,,NaT,3,0.0,0.0
bagisto,,NaT,4,0.0,0.0
bagisto,,NaT,5,0.0,0.0
bagisto,,NaT,6,0.0,0.0
barcamp-events,,NaT,0,0.0,0.0
barcamp-events,,NaT,1,0.0,0.0
barcamp-events,,NaT,2,0.0,0.0
barcamp-events,,NaT,3,0.0,0.0
barcamp-events,,NaT,4,0.0,0.0
barcamp-events,2020-06-07,2020-11,5,1.0,1.0
barcamp-events,,NaT,6,0.0,0.0
bastion-rs,2019-07-22,2019-07,0,0.0,2.0
bastion-rs,,NaT,1,0.0,0.0
bastion-rs,,NaT,2,0.0,0.0
bastion-rs,,NaT,3,0.0,0.0
bastion-rs,,NaT,4,0.0,0.0
bastion-rs,,NaT,5,0.0,0.0
bastion-rs,2019-07-22,2020-01,6,4.0,1.0
bcneng,,NaT,0,0.0,0.0
bcneng,,NaT,1,0.0,0.0
bcneng,2020-03-30,2020-05,2,0.0,1.0
bcneng,2020-03-30,2020-06,3,0.0,17.0
bcneng,,NaT,4,0.0,0.0
bcneng,,NaT,5,0.0,0.0
bcneng,2020-03-30,2020-09,6,0.0,2.0
