slug,first_time,cur_month,index,comments,amounts,commits_count,releases_count,pulls_count,discussions_count,Intervention,Time_after_intervention,commits_count_log,commits_count_scaled,releases_count_log,releases_count_scaled,pulls_count_log,pulls_count_scaled,discussions_count_log,discussions_count_scaled,amounts_log,amounts_scaled
coreruleset,2024/10/2,Jun-24,-4,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
coreruleset,2024/10/2,Jul-24,-3,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
coreruleset,2024/10/2,Aug-24,-2,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
coreruleset,2024/10/2,Sep-24,-1,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
coreruleset,2024/10/2,Oct-24,0,48,13,0,0,0,0,1,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,2.6026896854443837,3.690080339371535
coreruleset,2024/10/2,Nov-24,1,41,9,9,0,0,0,1,1,2.251291798606495,1.9143761577657257,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,2.251291798606495,3.2420219148671223
coreruleset,2024/10/2,Dec-24,2,6,2,12,0,0,0,1,2,2.525728644308255,2.140972869242629,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,0.916290731874155,1.5397963265050851
coreruleset,2024/10/2,Jan-25,3,12,6,9,0,0,0,1,3,2.251291798606495,1.9143761577657257,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,1.8718021769015913,2.7581444403980844
coreruleset,2024/10/2,Feb-25,4,0,0,0,0,0,0,1,4,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
coreruleset,2024/10/2,Mar-25,5,0,0,0,0,0,0,1,5,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
coreruleset,2024/10/2,Apr-25,6,0,0,0,0,0,0,1,6,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cp-algorithms,2024/7/19,Jan-24,-6,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cp-algorithms,2024/7/19,Feb-24,-5,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cp-algorithms,2024/7/19,Mar-24,-4,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cp-algorithms,2024/7/19,Apr-24,-3,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cp-algorithms,2024/7/19,May-24,-2,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cp-algorithms,2024/7/19,Jun-24,-1,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cp-algorithms,2024/7/19,Jul-24,0,12,2,0,0,1,0,1,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,0.4054651081081644,3.45829616735452,-0.6931471805599453,-0.1348042769849996,0.916290731874155,1.5397963265050851
