slug,first_time,cur_month,index,comments,amounts
analysis-tools-dev,2020-08-21,2020-09,1,3.0,1.0
analysis-tools-dev,2020-08-21,2020-10,2,30.0,6.0
analysis-tools-dev,2020-08-21,2020-11,3,3.0,1.0
analysis-tools-dev,2020-08-21,2020-12,4,0.0,0.0
analysis-tools-dev,2020-08-21,2021-01,5,0.0,0.0
analysis-tools-dev,2020-08-21,2021-02,6,0.0,0.0
Airsaid,2023-02-15,2023-02,0,3.0,1.0
Airsaid,2023-02-15,2023-03,1,7.0,2.0
Airsaid,2023-02-15,2023-04,2,5.0,3.0
Airsaid,2023-02-15,2023-05,3,0.0,0.0
Airsaid,2023-02-15,2023-06,4,0.0,2.0
Airsaid,2023-02-15,2023-07,5,1.0,2.0
Airsaid,2023-02-15,2023-08,6,4.0,3.0
scverse,2023-05-05,2023-05,0,6.0,2.0
scverse,2023-05-05,2023-06,1,0.0,0.0
scverse,2023-05-05,2023-07,2,0.0,0.0
scverse,2023-05-05,2023-08,3,0.0,0.0
scverse,2023-05-05,2023-09,4,9.0,4.0
scverse,2023-05-05,2023-10,5,2.0,1.0
scverse,2023-05-05,2023-11,6,0.0,0.0
qishibo,2024-05-21,2024-05,0,6.0,2.0
qishibo,2024-05-21,2024-06,1,0.0,1.0
qishibo,2024-05-21,2024-07,2,4.0,3.0
qishibo,2024-05-21,2024-08,3,3.0,4.0
qishibo,2024-05-21,2024-09,4,12.0,4.0
qishibo,2024-05-21,2024-10,5,25.0,4.0
qishibo,2024-05-21,2024-11,6,14.0,4.0
anticensority,2017-06-01,2017-06,0,5.0,1.0
anticensority,2017-06-01,2017-07,1,0.0,0.0
anticensority,2017-06-01,2017-08,2,0.0,0.0
anticensority,2017-06-01,2017-09,3,0.0,0.0
anticensority,2017-06-01,2017-10,4,0.0,0.0
anticensority,2017-06-01,2017-11,5,0.0,0.0
anticensority,2017-06-01,2017-12,6,0.0,0.0
apiato,2017-05-21,2017-05,0,10.0,1.0
apiato,2017-05-21,2017-06,1,0.0,0.0
apiato,2017-05-21,2017-07,2,0.0,0.0
apiato,2017-05-21,2017-08,3,0.0,0.0
apiato,2017-05-21,2017-09,4,0.0,0.0
apiato,2017-05-21,2017-10,5,0.0,0.0
apiato,2017-05-21,2017-11,6,0.0,0.0
apiflask,2021-06-26,2021-06,0,1.0,1.0
apiflask,2021-06-26,2021-07,1,4.0,1.0
apiflask,2021-06-26,2021-08,2,0.0,0.0
apiflask,2021-06-26,2021-09,3,0.0,0.0
apiflask,2021-06-26,2021-10,4,0.0,0.0
apiflask,2021-06-26,2021-11,5,0.0,0.0
apiflask,2021-06-26,2021-12,6,0.0,0.0
apollo-elements,2020-09-30,2020-09,0,2.0,1.0
apollo-elements,2020-09-30,2020-10,1,0.0,1.0
apollo-elements,2020-09-30,2020-11,2,2.0,1.0
apollo-elements,2020-09-30,2020-12,3,0.0,0.0
apollo-elements,2020-09-30,2021-01,4,0.0,0.0
apollo-elements,2020-09-30,2021-02,5,0.0,0.0
apollo-elements,2020-09-30,2021-03,6,0.0,0.0
apolloconfig,2018-11-16,2018-11,0,2.0,1.0
apolloconfig,2018-11-16,2018-12,1,0.0,0.0
apolloconfig,2018-11-16,2019-01,2,1.0,1.0
apolloconfig,2018-11-16,2019-02,3,5.0,1.0
apolloconfig,2018-11-16,2019-03,4,4.0,1.0
apolloconfig,2018-11-16,2019-04,5,0.0,0.0
apolloconfig,2018-11-16,2019-05,6,12.0,1.0
ColinEberhardt,2018-05-09,2018-05,0,1.0,1.0
ColinEberhardt,2018-05-09,2018-06,1,0.0,0.0
ColinEberhardt,2018-05-09,2018-07,2,0.0,0.0
ColinEberhardt,2018-05-09,2018-08,3,0.0,0.0
ColinEberhardt,2018-05-09,2018-09,4,0.0,0.0
ColinEberhardt,2018-05-09,2018-10,5,0.0,0.0
ColinEberhardt,2018-05-09,2018-11,6,3.0,1.0
approach0,2017-04-07,2017-04,0,1.0,1.0
approach0,2017-04-07,2017-05,1,0.0,0.0
approach0,2017-04-07,2017-06,2,0.0,0.0
approach0,2017-04-07,2017-07,3,0.0,0.0
approach0,2017-04-07,2017-08,4,0.0,0.0
approach0,2017-04-07,2017-09,5,0.0,0.0
approach0,2017-04-07,2017-10,6,0.0,0.0
AravisProject,2022-09-20,2022-09,0,0.0,1.0
AravisProject,2022-09-20,2022-10,1,0.0,0.0
AravisProject,2022-09-20,2022-11,2,0.0,0.0
AravisProject,2022-09-20,2022-12,3,0.0,0.0
AravisProject,2022-09-20,2023-01,4,0.0,0.0
AravisProject,2022-09-20,2023-02,5,0.0,0.0
AravisProject,2022-09-20,2023-03,6,0.0,0.0
arborchat,2018-10-27,2018-10,0,0.0,1.0
arborchat,2018-10-27,2018-11,1,17.0,17.0
arborchat,2018-10-27,2018-12,2,11.0,7.0
arborchat,2018-10-27,2019-01,3,4.0,7.0
