slug,members,updates,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown,age
rete,13,0,Rete.js,技术型,"javascript, visual programming, programming, open source",31,9,Other,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,7.0
sinytra,13,0,Sinytra,技术型,"open source, java, minecraft, modding",21,8,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
5wc24,33,0,5 Digit World Cup 2024,技术型,community,31,25,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
wordpress-sf,15,0,WordPress SFO,技术型,"wordpresss, tech, web development, san francisco, meetups",47,6,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0
openscapes,23,2,Openscapes,教育型,"climate, education, environment, mentoring",3,3,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0
sceneview,21,4,Sceneview,技术型,open source,15,15,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
wbds-la,31,0,WBDS LA,教育型,"artifical intelligence, civic tech, community, conference, data science, latin america, networking, online, research, workshops",6,6,Unknown,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0
kube-hetzner,10,0,Kube Hetzner,技术型,open source,32,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
the-mycelium-network,5,7,The Mycelium Network,技术型,"open source, community, education",27,2,Other,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0
a-city-for-peoplenz,22,2,A City for People,公益型,"housing, community",18,18,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
mastodoneducation,4,2,Mastodon.education,教育型,"education, movement, open source, other, community",36,2,Other,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,2.0
openinput,7,0,openinput,技术型,,28,3,Other,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0
universal-router,8,0,Universal Router,技术型,open source,24,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9.0
chaoss-africa,21,2,CHAOSS Africa,公益型,"civic tech, global, health, linux, online, open source",6,7,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2.0
centrifugal,9,6,Centrifugal,技术型,open source,33,7,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
101s,17,1,101s,技术型,"community, activism, engagement, conflict management",20,7,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3.0
mobx-react-form,7,0,mobx-react-form,技术型,"form, mobx, observables, react, reactive, state, validation, javascript",22,4,Unknown,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,7.0
vignette,19,7,Vignette,技术型,"open source, virtual-streaming, vtuber, face-tracking, ai",23,7,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
artistideal,15,1,ArtistIdeal,技术型,"association, arts and culture, community",16,6,Other,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1.0
gab,6,0,GAwesomeBot,技术型,"open source, discord, discord bot, bot",33,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
change-waco,8,0,ChangeWaco,公益型,"coalition, social justice, southern usa, texas, usa, waco",3,3,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
seoul-ios-meetup,10,0,Seoul iOS Meetup,技术型,"ios, development, mobile app development, programming, swift, meetup, korea, seoul, community",29,6,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
dexiejs,4,0,Dexie.js,技术型,"open source, javascript",24,2,Other,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2.0
hackneycopwatch,26,0,Hackney Cop Watch,公益型,"community, mutual aid, abolition, police intervention training, cop watch",22,8,Unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0
handycontrol,6,0,HandyControl,技术型,"color-picker, control, csharp, gif, imagebrowser, style, tabcontrol, wpf, wpf-controls, wpf-ui, xaml, open source",30,3,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.0
the-light-inside-film,19,2,The Light Inside,公益型,"community, film, documentary, arts, cinema",14,15,GB,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3.0
dockle,7,0,Dockle,技术型,open source,40,5,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
jetbrains-one-dark-theme,10,0,JetBrains One Dark Theme,技术型,open source,51,7,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
bagisto,16,2,Bagisto - Laravel eCommerce,技术型,"ecommerce-framework, laravel, php, vue, open source, ecommerce, multi-source inventory, laravel ecommerce, laravel pos, open source ecommerce framework, multi-tenant saas",38,11,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6.0
react-admin,5,0,React Admin,技术型,"open source, react, dashboard",23,3,FR,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3.0
mhw,11,0,Melanin Health & Wellness,公益型,,14,4,GB,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.0
klimastreik-landau,18,0,Klimastreik Landau,公益型,"community, fridays for future, klimastreik, fff, landau, klimaschutz, climate, environment, germany, activist, justice",15,7,DE,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3.0
regen-village,31,0,Regen Village,公益型,events,15,13,Other,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
community-archive,37,2,Community Archive,公益型,"open source, discourse, open science, community",50,29,Unknown,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0
datahike,9,0,Datahike,技术型,"datalog, graph database, clojure, clojurescript, distributed, database, immutable",29,2,DE,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5.0
planety,4,0,Planety,技术型,open source,29,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
openfoodnetworkuk,7,0,Open Food Network UK,公益型,"open food network, community tech, platform coop",24,3,GB,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9.0
joysong,20,0,Joysong Collective,公益型,,13,8,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
ya-webadb,11,0,Tango ADB,技术型,"open source, android, adb, web",12,6,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
arviz,15,0,ArviZ,技术型,"community, open source",41,4,Unknown,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
imask,15,0,imaskjs,技术型,"inputmask, vanilla-js, open source",44,11,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6.0
atl-madr,4,0,Atlanta Mutual Aid Disaster Relief,公益型,community,43,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0
ursuppe,19,5,ursuppe,技术型,"platform coop, arts and culture, open source, community",33,11,Other,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1.0
blogmarks,11,0,Blogmarks,技术型,"service, open source, saas",23,8,DE,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6.0
bi4farmers,17,1,Basic Income For Farmers,公益型,"foodjustice, climatejustice, justransition, equity and inclusion, regernative farming, thriving farming communities, foodsovereignty, sustainable farming, community engagement",8,4,Unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
soli-konto-health-for-future,14,0,Soli Konto Health for Future,公益型,"activism, climate justice, planetary health, solidarity fund, community",21,7,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
kiss,9,0,Kootenay Insurrection for Safe Supply,公益型,"community, safe supply, harm reduction, nelson, kootenays",44,7,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0
rizin,12,0,Rizin,技术型,"open source, reverse engineering, debugger, cybersecurity",27,5,DE,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4.0
jekyll-admin,11,0,Jekyll Admin,技术型,"cms, javascript, jekyll, jekyll-plugin, react, ruby, open source",41,8,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,5.0
abqciqlovia,17,1,ABQ CiQlovía,公益型,"abq, albuquerque, biking, community, event, family, health, new mexico, newmexico, openstreets, placemaking, southwestern usa, usa, wellness",7,6,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0
koko-analytics,13,3,Koko Analytics,技术型,"open source, wordpress, analytics",26,8,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3.0
opencollective-oss,27,0,Open Collective OSS,技术型,open source,54,17,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9.0
openml,6,0,OpenML,技术型,"open source, ai, machine learning, open science, artificial intelligence, networked science",48,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
climattitude,47,1,ClimaTTitude ASBL,公益型,"climate action, climate education, climate actions",11,27,Other,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0
food-not-bombs-humboldt-park,11,0,Food Not Bombs Humboldt Park,公益型,"chicago, community, food, humboldt park, illinois, midwestern usa, mutual aid, usa",19,6,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0
rustfest,14,1,The RustFest Project,技术型,community,52,5,Other,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0
opencannabis,4,0,OpenCannabis,技术型,"cannabis, cpg, regulated-industry, industry-standards",27,2,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0
pest,8,1,Pest,技术型,"rust, parsing, peg, open source",26,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
pdm,4,0,Pdm,技术型,open source,23,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
exosphere-foundation,10,0,Exosphere Foundation,公益型,"openstack, user interface, elm, cloud, open source, gui, scientific computing",4,1,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2.0
hyphacoop,9,0,Hypha Worker Co-op,技术型,,34,5,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
beawitching,10,1,Beawitching Communities,公益型,"lgbtq+, trans, community support, medical, advocacy, community",33,4,GB,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0
hpx,12,0,HPX,技术型,open source,19,4,US,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0
k2vr,14,0,K2VR,技术型,open source,25,8,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
the-stweets-fund,23,0,The Stweets Fund,公益型,"covid-19, mutualaid, christmas, foodvouchers",47,12,GB,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.0
sweet-spots,13,0,Sweet Spots,技术型,community,23,10,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
commitizen-tools,6,0,Commitizen Tools,技术型,"open source, release-automation",25,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
fastpack,15,0,Fastpack,技术型,"bundler, javascript, open source",52,11,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,6.0
sourcery,7,2,Sourcery,技术型,open source,52,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
supportukrainenow,38,9,SupportUkraineNOW,公益型,community,38,26,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0
drupal-contribution,16,1,Drupal Contribution,技术型,"civic tech, community, drupal, education, online, open source, training",19,5,US,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2.0
vscode-conventional-commits,7,0,VSCode Conventional Commits,技术型,"open source, vscode-extension, conventional-commits",21,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
adults-with-hemi,13,0,Adults with Hemi,公益型,community,40,11,GB,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.0
karrot,21,0,Karrot,公益型,"open source, community organizing, digital commons, commoning, sharing",25,6,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1.0
tidal-media-downloader,8,0,Tidal Media Downloader,技术型,"tidal-gui, tidal-dl, tidal media downloader, tidal",21,4,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
sciml,12,0,SciML,技术型,open source,35,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
g-4-g,22,0,G4G,公益型,other,40,12,Unknown,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6.0
first-collective-614,8,0,FIRST Collective,公益型,"homelessness, unhoused, movement, model, social infrastructure, community",33,3,Unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0
nectar-warrior,14,0,Nectar warrior,技术型,"jewelry, women, empowerment, warriors4elements",25,1,US,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.0
themainframe,4,0,Plex Utills,技术型,open source,25,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
diskframe,8,0,disk.frame collective,技术型,"data-science, large-dataset, manipulation-data, medium-data, r, open source",38,6,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6.0
cowley-climate-collective,12,0,Cowley Climate Collective,公益型,"uk, environment, racial justice, youth, community, community space, food sovereignty",19,3,GB,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0
vosca,13,1,V Open Source Community Association (VOSCA),技术型,"open source, programming-language, vlang",16,9,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
wv-democracy-fund,8,0,West Virginia Democracy Fund,公益型,"west virginia, civic engagement, democracy",2,2,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
vue-native-core,11,0,vue-native-core,技术型,"android, framework, ios, javascript, mobile app development, vue, vue native, open source, vue js, vuejs, react native",42,5,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,6.0
castopod,12,0,Castopod,技术型,podcast,32,8,FR,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.0
tolaga,12,5,Tolaga Bay Innovation,技术型,community,34,6,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
thinkingwithgames,8,1,Thinking With Games,教育型,"association, game development, community, indie games, games",46,3,US,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,6.0
trust-fund,16,0,Trust Fund,公益型,"online, education, civic tech, arts and culture, community building, solidarity economy, design, research, quadratic voting, reading groups, prototyping",2,2,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0
ucu-royal-college-of-art,42,3,UCU Royal College of Art,教育型,"opencollective, open collective, uk, london, open source, pta, collective, movement, ucu, art, education",38,38,GB,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,5.0
the_y_berlin,58,0,the Y Berlin @ MOOS,技术型,community,25,55,DE,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3.0
consciousdigital,34,0,Conscious Digital,技术型,"privacy, open source, nonprofit",32,29,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
abap-observability-tools,6,0,abap-observability-tools,技术型,,29,2,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
yamada-ui,7,0,Yamada UI,技术型,"open source, javascript, react, react-components, typescript, ui, a11y, ui-components, yamada-ui",15,4,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.0
dpp,12,0,Donor Participation Project,公益型,community,42,10,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0
aravis-project,10,0,Aravis Project,技术型,"open source, library, vision, camera",19,5,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
ramii-studio,19,0,Ramii Studio,技术型,"new zealand, aotearoa, nz, art, photography, community",3,4,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.0
hues-by-horizon-simulations,55,3,Hues by Horizon Simulations,技术型,"community, open source",50,49,Unknown,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
conda-forge,15,0,conda-forge,技术型,open source,28,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
suneditor,13,0,SunEditor,技术型,open source,25,10,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
openvidu,9,0,OpenVidu WebRTC Platform,技术型,"videochat, room, video, videoconference, webrtc, meeting, video surveillance, open source",46,6,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
phoenix-solidarity,8,0,Phoenix Solidarity,公益型,"movement, community, jail support",38,5,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0
the-space,14,0,The Space,技术型,,48,9,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0
networkupstools,17,3,The Network UPS Tools project,技术型,"open source, power device monitoring, ups, pdu, epdu, monitoring, management, dcim",26,10,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
te-ohu-o-onekiritea,16,0,Te Ohu o Onekiritea,公益型,"community, maori, manawhenua",7,5,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0
gqless,12,0,gqless,技术型,"open source, graphql",28,9,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
watchit,21,6,Watchit,技术型,"multimedia, decentralized, open source, decentralization, standard, movies",19,6,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2.0
