treated_index,control_index,treated_score,control_score
179,2644,0.4293942193720924,0.43005395774847416
179,682,0.4293942193720924,0.42810195974581766
186,824,0.4636693288687242,0.4635354353414541
186,956,0.4636693288687242,0.4635354353414541
186,1041,0.4636693288687242,0.4635354353414541
189,1061,0.6028417696549176,0.603463809408766
189,677,0.6028417696549176,0.6037214668653293
189,897,0.6028417696549176,0.6050348177118542
190,397,0.46340154707168246,0.46340154707168246
190,977,0.46340154707168246,0.46340154707168246
190,904,0.46340154707168246,0.46340154707168246
191,2239,0.4799054911971865,0.4799054911971865
191,2035,0.4799054911971865,0.4790450504069307
191,901,0.4799054911971865,0.4810911588723578
195,1850,0.6465964239473171,0.6465781150438474
195,2591,0.6465964239473171,0.6470188305667296
195,1853,0.6465964239473171,0.6471076696718592
199,1658,0.45017093816140175,0.4503522575346612
199,1067,0.45017093816140175,0.4499044125902978
199,2007,0.45017093816140175,0.45065045414725874
201,1777,0.7702053443676651,0.7715305729640787
201,1973,0.7702053443676651,0.7686515218144959
201,2009,0.7702053443676651,0.7719314443555825
202,2238,0.7049154136408827,0.7043384295885611
202,1469,0.7049154136408827,0.7058801410645118
202,1640,0.7049154136408827,0.7036194380115495
204,677,0.6035926453227416,0.6037214668653293
204,1061,0.6035926453227416,0.603463809408766
204,897,0.6035926453227416,0.6050348177118542
209,611,0.6511967205366279,0.6511871538903106
209,2578,0.6511967205366279,0.6511720744150372
209,66,0.6511967205366279,0.6519301504915517
221,723,0.42149655884509063,0.42149655884509063
221,730,0.42149655884509063,0.42149655884509063
221,2449,0.42149655884509063,0.42146720555804373
223,2078,0.640268063146091,0.640813070336595
223,2293,0.640268063146091,0.6414696814095043
223,1501,0.640268063146091,0.6389584234212631
230,1469,0.7051393603830086,0.7058801410645118
230,2238,0.7051393603830086,0.7043384295885611
230,1640,0.7051393603830086,0.7036194380115495
231,485,0.5324165167080951,0.5324165167080951
231,11,0.5324165167080951,0.5322548181582234
231,192,0.5324165167080951,0.5320143726380285
232,327,0.4822710430531037,0.4816798819756018
232,1807,0.4822710430531037,0.48286272772296385
232,711,0.4822710430531037,0.48300031344547373
233,2328,0.6290433068133111,0.6290433068133111
233,57,0.6290433068133111,0.6290433068133111
233,118,0.6290433068133111,0.6290433068133111
240,1469,0.7060566771555425,0.7058801410645118
240,2238,0.7060566771555425,0.7043384295885611
240,1336,0.7060566771555425,0.7079572797750573
241,1430,0.5942627768323769,0.5942468044189715
241,74,0.5942627768323769,0.5936657477892823
241,197,0.5942627768323769,0.5949511990984828
245,1823,0.4659726634890518,0.46585879098342786
245,335,0.4659726634890518,0.46583868254086064
245,250,0.4659726634890518,0.46583868254086064
246,2689,0.46433887469896185,0.46420200112180904
246,1897,0.46433887469896185,0.464575973921137
246,386,0.46433887469896185,0.4650355425337429
247,2093,0.5664001468572654,0.5661528255049169
247,2160,0.5664001468572654,0.5660823581926524
247,576,0.5664001468572654,0.5671258039695904
251,2496,0.4459620321459988,0.4457761270206115
251,2092,0.4459620321459988,0.44561630174713307
251,1001,0.4459620321459988,0.44633509742475413
252,2644,0.4297111616044556,0.43005395774847416
252,2072,0.4297111616044556,0.42881345562093615
252,1025,0.4297111616044556,0.4307907473202368
254,484,0.43916011649962655,0.43942536154227674
254,459,0.43916011649962655,0.43942536154227674
254,1618,0.43916011649962655,0.44004821181959713
255,2696,0.5753473673547993,0.5753473673547993
255,355,0.5753473673547993,0.5752158119649564
