slug,amount,currency,members,updates,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown,age
proxypy,10.0,USD,5,0,proxy.py,技术型,"android-proxy, docker, docker-container, framework, http-proxy, https-proxy, lightweight, man-in-the-middle, mitm, mitm-framework, mitmproxy, programmable, proxy, python, python3, single-file, web-proxy, webserver, websocket-proxy, websockets-proxy-server, open source",1,3,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0
photoviewer,27.0,USD,6,0,photoviewer,技术型,"draggable, image-gallery, lightbox, modal, photoviewer, resizable, responsive, zoomable, open source",2,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
north-iowa-mutual-aid,4641.35,USD,5,0,North Iowa Mutual Aid,公益型,"community, mutual aid, community fridge, free food, harm reduction, period poverty",3,1,Unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
doocs,19.0,USD,6,0,doocs,技术型,,2,2,Other,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6.0
youth-biodiversity-collective,86.96,USD,4,1,Youth Biodiversity Collective,公益型,"biodiversity, climate, youth development, youth participation, environmental education, climate education, education",1,1,Unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0
artistledgivingcircle,15461.54,USD,7,1,Artist Led Giving Circle,公益型,"art, movement, community",1,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0
do_action-ahmedabad,567.0,USD,6,0,do_action Ahmedabad,公益型,other,1,2,Other,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,6.0
stt-datacore,50.0,USD,5,0,STT Datacore,技术型,open source,1,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
forrest-webb,10.0,USD,5,0,Forrest Webb,技术型,community,2,3,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
deakvani,43.0,USD,4,0,Deakvani,技术型,community,2,2,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0
perfumejs,25.0,USD,6,0,perfume.js,技术型,"angular, google-analytics, performance, performance-metrics, react, user-timing, web-performance, webperf, open source",1,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
hievents,100.0,USD,3,0,Hi.Events,技术型,"open source, typescript, events, ticketing-system, event management company, php, laravel",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0
openstitching,50.0,USD,3,0,OpenStitching,技术型,"open source, python, computer vision",1,1,DE,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.0
bioprotocols,80.66,USD,5,0,Bioprotocols Working Group,技术型,"science, open source, standards",1,1,US,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3.0
gngr,688.21,USD,4,0,gngr,技术型,"browser, security, privacy, hacktoberfest",2,2,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
scshtx,253.66,USD,4,0,Space City Satanists,技术型,"movement, community",2,2,US,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0
oss-code-ge,56.82,USD,4,12,oss-code-ge,技术型,open source,1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
nodejieba,28.0,USD,4,0,nodejieba,技术型,open source,1,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
agora-colectiv,200000.0,USD,4,0,Agora Colectiv,公益型,community,2,2,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
affinepro,5.0,USD,4,0,AFFiNE.pro,技术型,open source,1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
centralizing,6000.0,USD,4,0,centralizing,技术型,community,2,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
opencleveland,3400.0,USD,3,0,Open Cleveland,技术型,"civic tech, community organizing, open source, usa",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
open-kentuckiana,2148.3,USD,3,0,Open Kentuckiana,公益型,community,1,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0
artalk,1.0,USD,4,0,Artalk,技术型,open source,1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
massmutualaid,290.0,USD,12,0,MASS Mutual Aid,公益型,mutual aid,13,8,Unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
release-plz,36.52,USD,5,0,Release-plz,技术型,"rust, rust-lang, release-automation, open source",3,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0
no-jail-deaths,30.0,USD,6,0,No Jail Deaths,公益型,community,3,3,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
easer,15.0,USD,4,0,Easer,技术型,"android-application, assistant, interoperation, automation, open source",2,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
open-twin-cities,4826.01,USD,3,1,Open Twin Cities,技术型,civic tech,1,1,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
osgeo,3.0,USD,8,0,Open Source Geospatial Foundation,技术型,,2,2,US,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.0
shazziepurple,267.0,USD,5,0,Test Collective,技术型,community,2,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
homeless-animals,15.0,USD,5,0,Raise money for homeless animals,公益型,community,3,3,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
webpack-node-externals,100.0,USD,4,0,Webpack Node Externals,技术型,open source,1,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
faction,10.0,USD,3,0,Faction,技术型,"open source, pentesting-tool, appsec, hacking-tool, infosec, cybersecurity",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
bike-collectives-tech,153.0,USD,7,1,Bike Collectives Tech,技术型,"mediawiki, conference, ruby on rails, open source",5,3,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
ommc,56.11,USD,5,0,OneMind Mycological Collective,公益型,"biotechnology, mycology, onemind, culture collective, citizen science, mushrooms, community, mycological society, medicinal mushroom community",3,3,Unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0
nicks-collective,5.0,USD,4,0,Nick's Collective,公益型,community,1,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
craftgen,100.0,USD,3,0,CraftGen,技术型,"open source, ai agent, ai, event-driven",1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
ookii-dialogs,22.0,USD,4,0,ookii-dialogs,技术型,"ookii, ookii-dialogs, wpf, dialogs, hacktoberfest",1,2,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
octo-credentials,4900.0,USD,4,0,octo credentials,技术型,covid-19,3,2,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
wiad-barcelona,135.39,USD,4,0,World IA Day Barcelona,技术型,,1,1,Other,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.0
txthinking-mr2,5.0,USD,5,0,mr2,技术型,"expose, firewall, nat, proxy, tcp, tunnel, udp, open source",1,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
the-freebsd-foundation1,525.0,USD,5,0,The FreeBSD Foundation,技术型,"other, open source",2,3,US,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,5.0
the-august-foundation,5.0,USD,4,0,The August Foundation,公益型,"education, food, health, research, resource",1,2,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
northern-illinois-sra,1062.97,USD,7,0,Northern Illinois SRA,教育型,community,2,1,Unknown,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0
node-vault,165.0,USD,4,0,node-vault,技术型,"api, api-client, client, hashicorp, node, node-vault, nodejs, secrets, vault, open source",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
altdrag,5.0,USD,6,1,AltDrag,技术型,"windows, open source",1,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
hpy,40.0,USD,8,0,HPy,技术型,"python, pypy, cpython, programming language, open source",2,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
djangoextensions,50.0,USD,4,0,djangoextensions,技术型,open source,1,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
go-callvis,20.0,USD,4,0,go-callvis,技术型,"open source, golang, callgraph, development tools",2,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
islah-reparations,22977.94,USD,6,1,Islah Reparations,公益型,"reparations, restorative justice, mutual aid",2,2,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
niui,5.0,USD,4,1,niui,技术型,"accordion, aspect-ratio, baseline, buttons, cards, css, forms, frontend, grid, html, javascript, lightbox, lists, masonry, modal-windows, nav, parallax-scrolling, slider, tooltips, wordpress-theme, open source",1,1,Other,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,5.0
cloudflare-dyns,1.0,USD,3,0,cloudflare-dyns,技术型,"cloudflare, cloudflare-ddns, dns, dns-record, dynamic-dns, open source",1,1,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0
hypergan-foundation,20.0,USD,3,0,HyperGAN Foundation,技术型,open source,1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
projectwallace,20.0,USD,3,0,Project Wallace,技术型,open source,1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
triangle-nc-sra,2968.56,USD,7,0,Triangle NC SRA,技术型,community,2,1,US,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0
github-profile-readme-generator,5.0,USD,3,0,Github Profile Readme Generator,技术型,open source,1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
goblinhouseholdings,360.0,USD,8,0,Goblin House,技术型,community,4,3,US,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0
vigilgaming,10.0,USD,4,0,Vigil Gaming,技术型,,2,1,US,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0
cyph,100.0,USD,5,0,Cyph,技术型,"open source, privacy, security, cryptography, messenger",1,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
catred,150.0,USD,3,0,CatRed,公益型,community,2,1,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0
poolifier,20.0,USD,5,162,Poolifier,技术型,"open source, scalability, typescript, threads, javascript, free software",1,1,Other,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3.0
advocates-for-refugees,60.0,USD,3,0,Advocates For Refugees,公益型,community,2,1,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0
self-governance-commons,1765.0,USD,5,0,Self-Governance Commons,公益型,"movement, community",1,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
archivedandremovedbyjylee,10.0,USD,2,1,archivedandremovedbyjylee,技术型,community,1,1,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0
wechat-bot,2.0,USD,3,0,Wechat Bot,技术型,open source,1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
php-time-ago,5.0,USD,4,0,php-time-ago,技术型,open source,1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8.0
opt-out-tools,350.0,USD,4,10,Opt Out Tools,技术型,"opencollectiveeu, europe, movement, lobbying, association, collective, meetup, equality, consent, solidarity, autonomy, cooperation, security, open source",2,2,DE,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,6.0
youdaotranslate,21.0,USD,3,0,YoudaoTranslate,技术型,open source,1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
photoprism,5.0,USD,4,0,PhotoPrism,技术型,"golang, tensowflow, google, docker, vuejs, vuetify, photography, privacy, deeplearning, open source",1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
4bambi27,880.0,USD,9,0,4bambi27,技术型,"association, usa, movement, meetup, open source",2,5,US,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2.0
okc-sra,1382.97,USD,9,0,OKC SRA,技术型,community,2,1,US,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0
kakao_kode,44.0,USD,6,0,Kakao Kode,技术型,"cacao, indigenous, permaculture, community, kakao, chocolate, xocolate, xocolatl, kakao lounge, living water, full spectrum living water, vortex water, structured water, ethical sourcing, colombia, el tejido farms, prayer, open source, kollaboration, current sea",2,2,US,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2.0
spreadlovefm,20.0,USD,3,0,Spread Love FM,公益型,"free store, mutual aid, community, brooklyn, brooklynmutualaid, st petersburg, florida bans, economic justice, wealth redistribution, digital divide",4,1,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
hexworks,20.0,USD,5,0,Hexworks,技术型,"game-development, hexagon, hexagonal-grid-library, hexagonal-grids, hexagons, open source",4,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0
dockerio,8.81,USD,5,0,docker.io,技术型,open source,2,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8.0
akita-t-rabsatt,40000.0,USD,5,0,Akita T Rabsatt,技术型,community,1,1,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0
wildseed-associate-membership,75.0,USD,5,0,WildSeed Associate Membership,公益型,community,3,1,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
vajrahackingasdfg,5.0,USD,4,0,Vajra,技术型,open source,2,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
discordbm,20.0,USD,3,0,DiscordBM,技术型,open source,3,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
gradem,2.0,USD,3,0,GM,技术型,,2,0,Other,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.0
north-georgia-sra,2002.02,USD,7,0,North Georgia SRA,公益型,community,4,3,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0
san-antonio-sra,648.24,USD,6,0,San Antonio SRA,公益型,community,2,1,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0
alova,49.0,USD,4,0,alova,技术型,"open source, javascript, react, vuejs, svelte, http-requests, xhr, api",1,1,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2.0
vue-lazy-hydration,2000.0,USD,5,0,vue-lazy-hydration,技术型,"open source, vue, performance, progressive hydration, lazy hydration",1,2,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6.0
tmodloader,1.0,USD,4,0,tModLoader,技术型,"tmodloader, terraria, modding, mods, open source",1,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
leveler,300.0,USD,4,0,Leveler,技术型,"civic tech, covid-19, online, resource, wealth justice, wealth redistribution",1,2,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
rita,10.0,USD,5,1,RiTa,技术型,open source,1,2,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6.0
4freunde,37.0,USD,5,0,4Freunde,公益型,"community, 4freunde, 4f, 4f.to, 4freunde.to, freundschaften, friendships, friendship",3,3,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
krakend,21.0,USD,6,0,KrakenD,技术型,open source,2,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
woofamiliesfeedingfamilies,110.0,USD,6,2,Worcester Families Feeding Families,公益型,"community, food justice, food access, emergency response",1,1,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
thunder-engine,21.0,USD,3,0,Thunder Engine,技术型,"open source, game engine",1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
kitx,1.0,USD,4,0,KitX,技术型,"open source, kitx, crequency, toolbox",1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
the-carpenters-academy,750.0,USD,6,1,The Carpenter's Academy,教育型,"community, self-directed education, education, christian education, online school, tutoring",3,3,US,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0
gnet,20.0,USD,5,0,gnet,技术型,"epoll, event-driven, event-loop, goroutine-pool, kqueue, multiple-reactors, networking, non-blocking, open source",1,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
owasp-crs,11.0,USD,6,0,OWASP CRS,技术型,"open source, owasp, waf",2,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
material-calendar-view,16.0,USD,6,0,material-calendar-view,技术型,open source,2,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8.0
unimport,5.0,USD,4,0,Unimport,技术型,"open source, python, linter, formatter",1,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
substitute-js,1111.11,USD,4,0,substitute.js,技术型,"open source, mock, fake, typescript, node.js, javascript",1,1,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,5.0
basic-illiteracy-program,70.0,USD,5,0,Basicilliteracyprogram,公益型,@basicillitracyprogram,3,3,Other,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0
pdfme,100.0,USD,3,0,pdfme,技术型,"pdf, pdf-generation, pdf-generator, pdf-viewer, typescript, react, open source",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0
jerverless,50.0,USD,6,0,jerverless,技术型,"awesome, docker, kubernetes, runner, serverless, serverless-functions, serverless-java, open source",1,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
wexond,5.0,USD,5,1,wexond,技术型,"browser, electron, extensions, javascript, material, plugins, themes, typescript, open source",1,3,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,6.0
webqit,20200.0,USD,5,0,WebQit Open Source,技术型,"web-native, web standards, open source",3,3,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3.0
stagex,50.0,USD,8,1,stageX,技术型,"open source, linux, reproducibility, security, information security, cybersecurity, cybersecurity services",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0
recoverly,50.0,USD,4,2,Recoverly,技术型,"health, human crisis, mental health, mutual aid, recoverly, refugees, reintegration, ukraine, usa",1,1,US,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.0
mongoke,39.0,USD,4,0,Mongoke,技术型,"open source, graphql, docker, python, nodejs",1,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
github-readme-activity-graph,2.0,USD,3,0,Github Readme Activity Graph,技术型,open source,1,1,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3.0
pr1s0nart,15.0,USD,5,0,PR1S0N ART,公益型,community,3,1,Unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0
gltfforue4,20.0,USD,5,10,glTF for UE4 & UE5,技术型,"open source, gltf, unreal engine, graphics, gltf 2.0, mesh, static mesh, skeletal mesh, animation, ue4, ue5",1,1,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.0
developing-ios-10-apps-with-swift,200.0,USD,13,0,Developing-iOS-10-Apps-with-Swift,技术型,"chinese-simplified, chinese-translation, cs193p, ios, ios10, itunes, stanford, swift, swift3, translation, translations, open source",2,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0
autospotting,31.0,USD,4,0,autospotting,技术型,"amazon-web-services, automation, autoscaling, autoscaling-groups, aws, aws-autoscaling, aws-lambda, cheaper-spot-instances, cloudformation, cost, ec2, ec2-instance, ec2-spot, go, golang-application, infrastructure, spot-instances, terraform-module, open source",1,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0
amo,16.0,USD,4,0,AMO,技术型,other,2,2,Unknown,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1.0
libereaders,4175.0,USD,4,0,Libereaders,教育型,community,2,2,US,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0
taytaygoku66,2156.0,USD,2,0,TayTayGOku,技术型,,3,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
eamt,1000.0,USD,5,0,EAMT,技术型,,1,1,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
oss-code,5.75,USD,3,1,oss-code,技术型,"open source, funding, software development, community",1,1,Unknown,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
lua-language-server,1.0,USD,4,0,Lua Language Server,技术型,open source,1,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
hypha,250.0,USD,4,0,Hypha,技术型,"open source, internet freedom, democracy, philanthropy",2,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8.0
joshuahager,10.0,USD,5,0,Joshua Hager,技术型,community,2,2,US,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0
hellomicroservice,1100.0,USD,2,0,HelloMicroserviceViapush,技术型,,1,0,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
bridge-foundry,151000.0,USD,4,0,Bridge Foundry General Fund,公益型,"community, diversity, inclusion, workshops, education, tech",1,1,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0
trex,10.0,USD,5,0,Trex,技术型,open source,1,2,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.0
ama-earth,15.0,USD,5,2,Ama Earth,公益型,community,3,3,Unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0
wizdwarfs,420.65,USD,2,6,WizDwarfs,技术型,"decentralize system, bioinformatics, open source, block-chain",1,0,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
timecat,6.0,USD,4,0,TimeCat,技术型,"open source, web recorder",2,2,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.0
django-river,15.0,USD,3,0,django-river,技术型,"django, python, python-2, python-3, workflow, workflow-engine, open source",3,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
do_action-montreal,853.0,USD,4,0,do_action Montreal,公益型,other,1,1,Other,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,6.0
big-arts-organization,10000.0,USD,5,0,Big Arts Organization,公益型,"arts and culture, climate justice",1,1,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0
live-captioning-initiative,250.0,USD,5,0,Live Captioning Initiative,公益型,"midwest, open source, drupal, events",1,3,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5.0
mattn-emmet-vim,100.0,USD,6,0,emmet-vim,技术型,"css, emmet, html, javascript, vim, open source",1,1,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,5.0
mission-forward,8050.0,USD,8,0,Mission Forward,公益型,community,2,4,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
hartex,10.0,USD,3,0,HarTex,技术型,"open source, discord-bot",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
integrativernd,55.0,USD,3,0,Integrative R&D,技术型,"sustainability, community",2,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
infinite-imaginarium,50.0,USD,7,1,Infinite Imaginarium,技术型,community,1,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
the-thing,5.0,USD,4,0,The Thing,技术型,"open source, movement, community",1,1,Unknown,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
jsdevelopmentsss,5.5,USD,3,0,Yas Ruletom,技术型,community,1,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0
disorientations,185.0,USD,4,0,Disorientations,教育型,"activism, archiving, arts and culture, covid-19, online, publication, publishing, student activism, usa",1,1,Unknown,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.0
ionic-selectable,5.0,USD,3,0,Ionic Selectable,技术型,open source,1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
gbgaysntheys,50.0,USD,3,0,Great Barrington Gays & Theys,公益型,"queer, queer & trans, cinema, community building, community",1,1,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0
exceptyouknowwho,5.0,USD,3,0,Except You Know Who,技术型,community,1,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
dnnc,200.0,USD,3,0,DNN Compiler,技术型,"compiler, deep-neural-network, deep-neural-networks, dnn-compiler, llvm, onnx, opencl, performance, raspberry-pi, risc-v, tensor, open source",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
rustcrypto,20318.75,USD,3,0,RustCrypto,技术型,"cryptography, rust",1,1,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
ng-alain,85.0,USD,4,0,ng-alain,技术型,"angular, angular-applications, angular-components, angular-seed, angular-start, angular6, ant-design, antd, antd-design-pro, delon, ng-alain, ng-zorro, ng-zorro-antd, open source",2,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
wikicensorship,5.0,USD,4,3,WikiCensorship,技术型,"internet censorship, censorship, internet, encyclopedia, open source, filtering, blocking, measure internet censorship, open encyclopedia",1,1,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3.0
stack-run-club,79.0,USD,6,0,stack run club,技术型,"meetup, community",1,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0
wiremocknet,27.74,USD,3,0,WireMock.Net,技术型,open source,1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
man253535,700.0,USD,2,0,man2525,技术型,community,2,0,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
numldesign,100.0,USD,4,0,Numl.Design,技术型,"open source, numl, numldesign, numl-react, css framework, ui kit, react",1,2,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
santa-barbara-doc,1.15,USD,3,0,Santa Barbara DOC,公益型,"other, community",1,1,US,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1.0
php-aws-ses,20.0,USD,4,0,php-aws-ses,技术型,open source,1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
nothingatalldontcontribute,1.0,USD,4,0,nothingatall,技术型,,1,1,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
jupyter-jupyterhub-czi-2021-23,212192.43,USD,6,0,Jupyter (JupyterHub) CZI 2021-237021,技术型,community,1,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0
rickshaw,438.0,USD,3,0,The Rickshaw Solidarity Fund,公益型,"coop, discord, community",2,1,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0
quantum-computing,1.0,USD,4,0,Quantum Computing Collection Of Resources,技术型,open source,1,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
luisalbertoespinozaguerrero16,100000.0,USD,3,0,Luis Alberto Espinoza Guerrero,技术型,"javascript, community",1,1,Other,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0
