slug,members,updates,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown,age,propensity_score
boardgameio,15,0,boardgame.io,技术型,"open source, boardgame, gaming, javascript, typescript, multiplayer, tabletop, game engine",133,9,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,4.0,0.45845595865511807
medoo,19,1,Medoo,技术型,"php, mysql, sqlite, mssql, sql, composer, database, medoo, php-framework, open source, hacktoberfest",105,13,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0,0.5452287797499753
bootstrap-vue-next,22,0,BootstrapVueNext,技术型,"vue3, vue, bootstrap, bootstrap 5, nuxt, open source",119,16,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0,0.4068083245834966
midnight-lizard,121,2,Midnight Lizard,技术型,"accessibility, blue-filter, brightness, chrome-extension, color-scheme, contrast, contrast-theme, dark-mode, dark-theme, firefox-webextension, grayscale, high-contrast, night-mode, readability, red-shift, open source",162,111,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.544837791550498
mybb,49,0,MyBB,技术型,"forum, mybb, mysql, php, postgresql, sqlite, open source",206,41,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0,0.5465640103979332
pasquines,40,8,Pasquines,公益型,"american samoa, education, guam, internship, knowledge, news, northern mariana islands, online, publication, puerto rico, usa, us territories, us virgin islands",101,35,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,0.5756665595089958
psl,12,1,Policy Simulation Library,技术型,"civic tech, global, knowledge, modeling, online, open source, other, policy, resource, uk, usa",142,7,US,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,5.0,0.6855181184233319
ocrmypdf,41,0,OCRmyPDF,技术型,"image-processing, ocr, pdf, python, open source",132,37,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.5139989533097697
webrecorder,20,1,Webrecorder,技术型,"community, web archiving, web, archive, archiving, internet, www, capture, replay, access, preservation, webrecorder, web recorder",198,14,US,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3.0,0.6396414019803864
juneteenth-conference,63,0,Juneteenth Conference,公益型,"civic tech, event, global, online, technology, usa",39,15,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0,0.6082259620829962
fise-tech-collective,25,23,FISE Tech Collective,技术型,"community, decentralization, web3, fundraising, privacy, data, ownership",197,20,US,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3.0,0.7453992006735346
cdnjs,42,0,cdnjs,技术型,"open source, cdn, javascript, js, frontend, library, css, hacktoberfest",142,36,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,8.0,0.5697421593734591
bim-bom-studios,18,0,bim bom studios,技术型,"community, dance, music",175,16,US,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,0.6044489553131754
evelynssafehouse,120,3,Fund Evelyn's Safehouse,公益型,community,163,111,Other,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0,0.4728056354640513
norrebrospace,13,0,Nørrebro.space,技术型,"open source, mastodon, activitypub, fediverse",111,10,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,0.5140959772294333
cssnano,28,0,cssnano,技术型,"postcss, open source, css, minified, minify, compress, compression",144,22,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.5141964078245138
spicetify,33,0,Spicetify,技术型,"open source, spotify",110,17,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0,0.4458998389497879
kitspace,33,0,Kitspace,技术型,"electronics, iot, open-hardware, open-hardware-electronics, pcb, registry, repository, open source",134,26,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.5161256410464157
doe-deurne-dicht,61,0,Doe Deurne Dicht,公益型,"movement, other, meetup, community",105,56,Unknown,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2.0,0.28883332824231966
impacttech,43,1,Impact.tech,技术型,meetup,234,37,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9.0,0.6015151504522122
xr-global-support,63,2,We are XR Global Support: Global South and MAPA,公益型,"global, rebellion, rebel, extinction, biodiversity, climate, earth defenders, globalsouth, mapa, movementofmovements",81,39,GB,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.0,0.5456581991477485
fff-milano,49,1,Fridays For Future - Milano,公益型,movement,113,33,Other,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.0,0.48489305871019417
textpattern-collective,18,2,Textpattern,技术型,"open source, cms, content management system",115,9,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0,0.47366928361895205
typedclojure,9,29,Typed Clojure,技术型,"open source, clojure, typed clojure, type system, lisp",125,5,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0,0.8039883206416362
tokio,24,0,Tokio,技术型,open source,123,15,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0,0.46326337936905115
doctoolchain,14,2,docToolchain,技术型,"arc42, asciidoc, asciidoctor, asciidoctor-diagram, asciidoctor-pdf, confluence, docs-as-code, enterprise-architect, open source, hacktoberfest",150,11,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.5199596778537029
streetlives,40,12,Streetlives,公益型,"501c3, civic tech, covid, homeless, homelessness, housing, new york, new york city, nyc, resource, usa, yourpeer, streetlives, unhoused, unhoused support, unhousedcommunity, donate",121,26,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.0,0.6812868856463026
heroui,58,0,HeroUI,技术型,"open source, ui-components",89,46,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0,0.44535185174659536
readup-collective,13,4,The Readup Collective,教育型,"asp.net, civic tech, civil discourse, community, education, ios, javascript, online, postgres, reading, typescript",103,9,US,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,3.0,0.5246766719619871
xrnantes,57,0,Extinction Rebellion Nantes,公益型,"community, climate, movement, activism, xr, climate justice",96,41,FR,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0,0.4762953275260267
collectivediaspora,47,11,Collective Diaspora,公益型,"black, coop, cooperatives, global, racial justice, solidarity economy, usa",55,35,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0,0.574960141807971
backyourstack,19,0,Back Your Stack,技术型,"open source, sustain, sustainoss, funding, other",128,11,Unknown,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,7.0,0.5418217204360677
coconut,21,0,coconut,技术型,"coconut, functional, functional-language, functional-programming, language, programming-language, python, open source",158,15,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0,0.5398845862667847
pittsburgh-functional-programming-meetup,7,0,Pittsburgh Functional Programming Meetup,技术型,"meetup, functional programming, fp, pittsburgh, yinzer, open source",127,5,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0,0.6769174937293952
gaf-london,19,2,Green Anticapitalist Front London,公益型,"community, anticapitalist, green, environmental, eco, radical",129,12,GB,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.0,0.49260677031633765
element-plus,25,0,Element Plus,技术型,"open source, element-ui, vuejs",132,16,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0,0.490242158799947
spectra-video,35,4,Spectra Video,技术型,"peertube, fediverse, media, video, community",142,24,US,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.6128722462103126
easy-peasy,24,0,Easy Peasy,技术型,"hooks, immer, immutable, react, react-hooks, redux, state-management, open source, node, typescript, javascript",146,20,GB,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5.0,0.6378673687758619
photoswipe,63,0,PhotoSwipe,技术型,open source,106,57,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0,0.46605969886375725
spacevim,24,3,SpaceVim,技术型,"awesome, editor, ide, neovim, space-vim, spacemacs, spacevim, vim, vim-configuration, vim-distribution, vimrc, open source",113,21,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0,0.5539392218011013
gioui,27,0,Gio,技术型,open source,107,20,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0,0.46148268950741994
san-antonio-review,57,36,San Antonio Review,教育型,"art, arts and culture, austin, collective, digital, essays, fiction, indie press, indie publishing, international, journal, literary, magazine, nonfiction, online, poetry, print, publication, publisher, publishing, reading, reviews, san antonio, southern usa, storytelling, texas, uruguay, usa, writing, public space",77,42,US,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.0,0.7542963652820855
github-education,158,0,GitHub Education,教育型,"open source, education, community",31,6,US,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2.0,0.660156182740655
js-lingui,21,0,js-lingui,技术型,"i18n, icu, internationalization, intl, javascript, localization, messageformat, react, react-components, react-native, translation, open source",123,13,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,7.0,0.5421381186096752
madridgug,37,1,Madrid Groovy Users Group,技术型,"meetup, developers, programing, it",144,29,Other,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.0,0.6082122793124404
alfio,18,0,Alf.io,技术型,"alfio, event, java, reservation, ticket, ticketing, open source, gplv3",128,12,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6.0,0.6232464375161914
libremesh,20,1,LibreMesh,技术型,"firmware, lua, mesh, mesh-networks, openwrt, openwrt-package, routing, open source, wireless, community wireless networks, wireless mesh networks",121,11,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.5220164896702454
yorkie,12,0,Yorkie,技术型,"open source, crdt, collaborative-applications, document-store",97,6,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.0,0.5967613770398559
openfl,11,0,OpenFL,技术型,"open source, game development, application development, html5, windows, mac, linux, ios, android, webassembly, flash",113,6,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0,0.5371731674261968
lando,17,1,lando,技术型,"docker, drupal, wordpress, node, localdev, php, laravel, vue, joomla, dotnet, python, go, javascript, ruby, open source",138,12,US,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,5.0,0.6862046552245635
amethyst,26,0,amethyst,技术型,"engine, game-engine, gamedev, rust, open source",164,13,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.5218085349418075
solrmutualaid,33,2,Students Organizing for Labor Rights: Mutual Aid,公益型,"mutual aid, community, movement, redistribution",99,23,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0,0.49282908989651675
thewpcommunitycollective,138,0,The WP Community Collective,技术型,"open source, wordpress, nonprofit, community",125,119,US,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.5896636097811836
webdrivermanager,22,0,WebDriverManager,技术型,"selenium, webdriver, chromedriver, geckodriver, java, maven, gradle, shell, open source",112,16,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6.0,0.6238448171149515
oddbird-open-source,52,12,OddBird Open Source,技术型,"open source, css, sass, community, javascript, python",142,27,Unknown,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1.0,0.4736020952636824
lobehub,57,0,LobeHub,技术型,"open source, artificial intelligence, react, chatbot, lobechat, lobe-chat",77,45,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0.3928893859004767
netbootxyz,20,1,netboot.xyz,技术型,"baremetal, boot, dhcp, install, installer, ipxe, linux, netboot, network-boot, operating-systems, os, provisioning, pxe, pxeboot, pxelinux, tftp, open source, hacktoberfest",118,16,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0,0.6856389853941927
asociacion-para-la-investigacion-capacitacion-y-asistencia-wixarica,48,11,"Asociación para la investigación, capacitación y asistencia Wixarica",公益型,"association, salud, indigenas, community, wixaritari, indigenous, mexico, non-government organization",132,33,Other,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1.0,0.4334722873834683
peoples-community-land-trust,25,0,The People's Community Land Trust,公益型,"housing justice, community land trust, solidarity economy, affordable housing, community",142,22,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0,0.4722380254538202
symfony-diversity-usd,42,3,Symfony Diversity collective in $,技术型,"bundle, framework, php, php-framework, psr-11, psr-13, psr-16, psr-3, psr-6, symfony, symfony-bundle, open source",213,33,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0,0.5634797315836069
noice,60,2,Noice: Natural calming noise,技术型,"open source, android, noise, ambience, hacktoberfest",115,57,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.0,0.6117278527377642
pufferpanel,20,0,PufferPanel,技术型,open source,98,16,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0,0.6807023997505371
design-tokens,16,0,Design Tokens Community Group,技术型,"open source, w3c, design systems",103,11,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3.0,0.6327223873990846
surjdcmigrantjustice,16,2,SURJ DC Migrant Justice Team,公益型,"community, immigrants, surjdc, migrant justice",174,13,Unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,0.3131019656335256
autokeras,36,0,AutoKeras,技术型,"automl, deep-learning, neural-architecture-search, open source",177,33,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.5120692568853183
react-native-datetimepicker,18,0,react-native-datetimepicker,技术型,open source,107,14,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0,0.4566780250471587
borgbackup,30,0,borgbackup,技术型,,98,20,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0,0.46534305502342643
art-workers-for-palestine-scot,75,0,Art Workers for Palestine Scotland,公益型,"arts and culture, community, community organizing, creative, free palestine, mutual aid",78,41,GB,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,0.4403846156695335
iconoir,63,0,Iconoir,技术型,"open source, icons, svg, library, react, react native, css, free icons",97,54,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0,0.4427778898925986
barcamp-omaha,42,4,BarCamp Omaha,技术型,"association, barcamp, omaha",174,32,US,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6.0,0.7304714733175957
