slug,name
react-spring,react-spring
stylelint,Stylelint
code-for-venezuela,Code for Venezuela
interbeing,interbeing.life
agora,Agora
inferno,inferno
ccxt,CCXT
le-47,Le 47
concatenate,Concatenate Conference
browserslist,Browserslist
thecodebarbarian,The Code Barbarian
sb-mutual-aid-care-club,South Bay Mutual Aid and Care Club
rebel-harm-reduction,Rebel Harm Reduction
mealsofgratitude,Meals of Gratitude
privacyguides,Privacy Guides
bettermediauk,Better Media
react-router,React Router
technoqueers,Techno Queers
simplytestme,SimplyTest.me
cooperationhollylodge,Cooperation Holly Lodge
ariakit,Ariakit
bookwyrm,Bookwyrm
floccus,floccus
pmndrs,pmndrs
gltc,Great Lakes Taiko Center (GLTC)
writingexchange,Writing Exchange
cncnet,CnCNet
lambda-island,Lambda Island Open Source
podlove,Podlove
tiddlywiki,TiddlyWiki
jmonkeyengine,jMonkeyEngine
nock,nock
ssftx,Sueños Sin Fronteras
betterstreetschicago,Better Streets Chicago
hots-nyc,HOTS-NYC
hexxagon,Hexxagon
tealwiki,TealWiki
sunbeam-city,Sunbeam City
iosdevspace,iOS Dev Space
firo,Firo
jss,JSS
thetorproject,The Tor Project
json-schema,JSON Schema
actual,Actual
archiveteam,Archive Team
dc-tool-library,DC’s Tool Library
termux,Termux
the-supply-hive,The Supply Hive
pypy,PyPy
react-pdf,react-pdf
nanoframework,.NET nanoFramework
compost,COMPOST
sucho,Saving Ukrainian Cultural Heritage Online
sauna-time,Sauna Time
grapevinecollective,Grapevine Collective
react-virtualized,react-virtualized
rvafnb,"Richmond, VA Food Not Bombs"
poi,poi
stc,stc
melpa,MELPA
android-password-store,Android Password Store
yew,Yew
fxma,Fairfax Mutual Aid
selfdefined,Self Defined
see-you-collective,The See You Collective
rspec,rspec
verdaccio,verdaccio
gtk-rs,Gtk-rs
ccc33chicago,Community Care Collective - 33rd Ward
ohmyzsh,Oh My Zsh
enspiral-europe,Enspiral Europe
orthanc,Orthanc
thexylom,The Xylom
chaijs,Chai
srs-server,SRS
iron-path-farms,Iron Path Farms
layerzero,Layer Zero
guppe-groups,Guppe Groups Platform Co-op
cooperation-birmingham,🌈 Cooperation Birmingham 💖
strapi,Strapi
pulsar-edit,Pulsar Edit
tabulapdf,Tabula
yourls,YOURLS
hermosamutualaid,Hermosa Mutual Aid
xr-lyon,XR Lyon
kavita,Kavita
fast-endpoints,FastEndpoints
betonquest,BetonQuest
flowlab,FLOWLab
yeoman,Yeoman
azuracast,AzuraCast
kent-food-hubs-folkestone,Kent Food Hubs Folkestone
wildrootscooperative,Wild Roots Learning Community
sf-bay-area-mutual-aid,SF Bay Area Mutual Aid
simplex-chat,SimpleX Chat
emotion,emotion
discordjs,discord.js
cooperation-town,Cooperation Town
climaximopt,Climáximo
zmkfirmware,ZMK Firmware
solunderground,Sol Underground
sous-chefs,Sous-Chefs
spotube,Spotube
chillicream,ChilliCream
openemr,OpenEMR
hapijs,hapijs
purescript,PureScript
libvips,libvips
hoe-street-mutual-aid,Hoe Street Mutual Aid/ Drive Food Stall
openlayers,openlayers
code-for-philly,Code for Philly
koajs,KoaJS
london-clojurians,London Clojurians
emberjs,Ember.js
ridgewood-community-garden,Ridgewood Community Garden
kuleuvenstudentencampment,KULeuven student encampment
mstdn,mstdn.social
redistro,Redistro
premake,Premake
randovania,Randovania
clipto,Clipto - Your personal writing companion
ajv,Ajv
livetl,LiveTL
ukvma,Ukrainian Village-West Town Mutual Aid
wegotthisseattle,We Got This Seattle 
huntr,huntr
geysermc,GeyserMC
webbed-briefs,Webbed Briefs
triad-land-project,Triad NC SRA Land Project
supper-collective-nyc,Supper Collective
healthforxr,Health for XR
the-ryse,The RYSE - Radical Youth Space for Educations
lint-staged,lint-staged
xranimal,XRAnimal
happenfilms,Happen Films
docusaurus,Docusaurus
modx,MODX
acgn-stock,acgn-stock
peercoin,Peercoin
hack-portland,Hack Portland
yarnpkg,Yarn
universalviewer,universalviewer
piratpartiet,Piratpartiet
eternaltwin,Eternaltwin
wwc,The Womanist Working Collective
natives-in-tech,Natives in Tech
wethepeoplenyc,We The People NYC
journahost,journa.host
rain-or-shine-diaper-fund,Rain or Shine Diaper Fund & Distro
lem,lem
hydra-synth,hydra community fund
ant-design,Ant Design
crowbartools,CrowbarTools
bryn-mawr-warming-station,Northside Chicago Prison Letter Writing Coalition
culture-ric,Culture-RIC
nextauth,Auth.js
queertopia,Queertopia
cfsc,Chicagoland Food Sovereignty Coalition
ethical-source,The Organization for Ethical Source
goldsmithsmutualaid,goldsmiths mutual aid
enablefund,The e-NABLE Fund
task,Task
riot,Riot.js
