slug,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown
smart-citizenry,Smart Citizenry,公益型,movement,1,1,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
se-mi-trans,SE MI Trans,技术型,"decentralized, transgender, community",1,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
react-svg-loader,react-svg-loader,技术型,"babel-plugin, react, rollup-plugin, svg, svg-loader, svgo, webpack-loader, open source",1,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
orange-county-sra,Orange County SRA,公益型,community,1,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
notiammex,Noticias Ambientales,公益型,"medio ambiente, periodismo, investigación, community",1,1,Other,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
umentorjs,Umentor JS,技术型,"community, javascript-indoneisa, non-profit",1,1,Other,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
paana-welfare-trust,Paana Welfare Trust,公益型,community,1,1,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ax-boot-framework,AXBoot Framework,技术型,open source,1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
erik-test,Erik Test (do NOT contribute to this),技术型,community,1,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
vue-popper,vue-popper,技术型,"popover, popper, vue, vue-component, vuejs, open source",1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ehr,EHR,技术型,"equality, lgbt, lgbtq+, humanrights, community",1,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
nomacs,nomacs,技术型,open source,1,1,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
sra_dfw,Dallas-Fort Worth Socialist Rifle Association,公益型,community,1,1,Unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
luul-solutions-ltd,Luul Solutions Ltd,技术型,community,1,1,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
dnd,D&D,教育型,"d&d, developer, designer",1,1,Other,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
trans-equality-florida,Trans Equality Mutual Aid Florida,公益型,"transgender, transyouth, equality, equality-of-access, florida, mutualaid, transflorida, open source, movement, pride, point of pride, lgbtq+ equality, flee florida, human rights, trans refugees, community, fast grants, trans rights are human rights, solidarity fund, protect trans youth",1,1,US,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
our-house-uk,Our House,公益型,"uk, democracy, citizen participation, participation, community organizing, community development, participatory design, participatory democracy",1,1,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
the-ideas-space,The Ideas Space,技术型,community,1,1,GB,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
api-athens,API Athens,技术型,"greece, apis, tech meetups, community",1,1,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
wwcodesydney,WWCode Sydney,技术型,"wwcode, meetup, diversity in tech",11,3,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c103-a-vision-of-future-living,C103 A Vision of Future Living,技术型,"sustainable community, recycling, recycling education, safety awareness, sustainable alternatives, flax, artisan practices",1,1,GB,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
genesisxp,Genesis,技术型,,5,5,Other,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
portal-2-community-edition,Portal 2: Community Edition,技术型,"community, open source, portal 2, game development, modding, game-modding",139,27,Unknown,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
italia-open-source,Italia Open-Source,技术型,"open source, community building, python, awesome, awesome-list, italy, networking",2,1,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
xr-czech,Neaktivní,技术型,rebelie,1,1,Other,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
reno-sra,Reno SRA,技术型,community,1,1,US,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
